ID,Country_Name,Country_Code,Indicator_Name,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
107,IDA blend,IDB,Unemployment total (% of total labor force),2.8590023,2.8651305,3.1317972,3.5710769,3.4156299,3.9758581,4.8733786,5.3722801
108,IDA only,IDX,Unemployment total (% of total labor force),4.5664402,4.603384,4.5790154,4.5608816,4.5037184,4.5204436,4.4844823,4.4330948
109,IDA total,IDA,Unemployment total (% of total labor force),4.038371,4.0634172,4.1309638,4.2557907,4.1683054,4.3519534,4.6044486,4.7212805
110,India,IND,Unemployment total (% of total labor force),5.6360002,5.638,5.652,5.671,5.6079998,5.5650001,5.5110002,5.4190001
111,Indonesia,IDN,Unemployment total (% of total labor force),5.6139998,5.1529999,4.4679999,4.336,4.0489998,4.5139999,4.3010001,4.1849999
112,Iran Islamic Rep.,IRN,Unemployment total (% of total labor force),13.5200005,12.4499998,12.6300001,10.4399996,10.5699997,11.0600004,12.4300003,12.1000004
113,Iraq,IRQ,Unemployment total (% of total labor force),8.3660002,8.158,7.9650002,9.2779999,10.5900002,10.7130003,10.8199997,13.0200005
114,Ireland,IRL,Unemployment total (% of total labor force),14.533,15.3529997,15.4510002,13.7349997,11.8570004,9.9060001,8.3739996,6.7119999
115,Isle of Man,IMN,Unemployment total (% of total labor force),,,,,,,,
116,Israel,ISR,Unemployment total (% of total labor force),8.4799995,7.1389999,6.8569999,6.2080002,5.8899999,5.2509999,4.7979999,4.2150002
117,Italy,ITA,Unemployment total (% of total labor force),8.3629999,8.3590002,10.6549997,12.1490002,12.6829996,11.8959999,11.6879997,11.2110004
118,Jamaica,JAM,Unemployment total (% of total labor force),12.3660002,12.6999998,13.9300003,15.2510004,13.7399998,13.5109997,13.1920004,11.6339998
119,Japan,JPN,Unemployment total (% of total labor force),5.0999999,4.5209999,4.3000002,4,3.5999999,3.4000001,3.0999999,2.8
120,Jordan,JOR,Unemployment total (% of total labor force),12.5,12.8999996,12.1999998,12.6000004,11.8999996,13.0749998,15.2749996,15.1149998
121,Kazakhstan,KAZ,Unemployment total (% of total labor force),5.77,5.3899999,5.29,5.1999998,5.0599999,4.9299998,4.96,4.9000001
122,Kenya,KEN,Unemployment total (% of total labor force),2.842,2.8440001,2.8540001,2.8670001,2.8239999,2.7939999,2.757,2.6949999
123,Kiribati,KIR,Unemployment total (% of total labor force),,,,,,,,
124,Korea Dem. People’s Rep.,PRK,Unemployment total (% of total labor force),2.9430001,2.944,2.954,2.9679999,2.921,2.888,2.8480001,2.779
125,Korea Rep.,KOR,Unemployment total (% of total labor force),3.7,3.4000001,3.2,3.0999999,3.5,3.5999999,3.7,3.7
126,Kosovo,XKX,Unemployment total (% of total labor force),,,,,,,,
127,Kuwait,KWT,Unemployment total (% of total labor force),1.8200001,2.2160001,2.615,2.9219999,2.9000001,2.2,2.1600001,1.798
128,Kyrgyz Republic,KGZ,Unemployment total (% of total labor force),8.6400003,8.5299997,8.4300003,8.3299999,8.0500002,7.5599999,7.21,6.8899999
129,Lao PDR,LAO,Unemployment total (% of total labor force),0.708,0.709,0.712,0.717,0.702,0.692,0.68,0.66
130,Late-demographic dividend,LTE,Unemployment total (% of total labor force),5.195278,5.1052065,5.0526865,5.0390155,4.9533486,5.1017676,5.2741107,5.2606069
131,Latin America & Caribbean,LCN,Unemployment total (% of total labor force),6.959801,6.482775,6.3977412,6.3216296,6.1510261,6.7023453,7.8131014,8.0880091
132,Latin America & Caribbean (excluding high income),LAC,Unemployment total (% of total labor force),6.8864245,6.4359293,6.3749348,6.3129817,6.1211149,6.7100036,7.8677367,8.1530103
133,Latin America & the Caribbean (IDA & IBRD countries),TLA,Unemployment total (% of total labor force),6.9912902,6.491936,6.4059796,6.3310535,6.1710905,6.7505674,7.8943487,8.1852215
134,Latvia,LVA,Unemployment total (% of total labor force),19.4820004,16.2059994,15.0469999,11.8669996,10.8459997,9.8730001,9.6429996,8.7150002
135,Least developed countries: UN classification,LDC,Unemployment total (% of total labor force),4.4666021,4.4431222,4.4225661,4.4567858,4.3978861,4.4172045,4.4371676,4.4285666
136,Lebanon,LBN,Unemployment total (% of total labor force),6.4190001,6.4219999,6.4349999,6.4520001,6.3959999,6.3569999,6.309,6.2249999
137,Lesotho,LSO,Unemployment total (% of total labor force),26.8139992,26.0419998,25.3020001,24.5799999,24.4710007,24.3939991,24.2999992,24.1340008
138,Liberia,LBR,Unemployment total (% of total labor force),2.266,2.2379999,2.2149999,2.1960001,2.132,2.079,3.0810001,3.0039999
139,Libya,LBY,Unemployment total (% of total labor force),18.9990006,19.0049992,19.0300007,19.0629997,18.9559994,18.8810005,18.7889996,18.6270008
140,Liechtenstein,LIE,Unemployment total (% of total labor force),,,,,,,,
141,Lithuania,LTU,Unemployment total (% of total labor force),17.8139992,15.3900003,13.3649998,11.7700005,10.698,9.1199999,7.862,7.073
142,Low & middle income,LMY,Unemployment total (% of total labor force),5.400405,5.3332851,5.2905059,5.3098232,5.2745459,5.4170013,5.5636196,5.5670072
143,Low income,LIC,Unemployment total (% of total labor force),5.2093734,5.1737416,5.1434321,5.099651,5.06823,5.0971259,5.0519899,4.9644434
144,Lower middle income,LMC,Unemployment total (% of total labor force),4.8191205,4.9318,4.9821651,5.0768129,5.0402335,5.1080818,5.1894407,5.2206245
145,Luxembourg,LUX,Unemployment total (% of total labor force),4.3610001,4.901,5.1399999,5.8480001,5.8520002,6.6690001,6.2909999,5.5219998
146,Macao SAR China,MAC,Unemployment total (% of total labor force),2.8399999,2.5599999,1.97,1.8200001,1.7,1.8099999,1.9,2
147,Madagascar,MDG,Unemployment total (% of total labor force),4.2800002,2.0190001,0.599,0.936,1.327,1.785,1.763,1.725
148,Malawi,MWI,Unemployment total (% of total labor force),5.9109998,5.914,5.928,5.9460001,5.8870001,5.8460002,5.7950001,5.7069998
149,Malaysia,MYS,Unemployment total (% of total labor force),3.25,3.05,3.04,3.1099999,2.8800001,3.0999999,3.4400001,3.4100001
150,Maldives,MDV,Unemployment total (% of total labor force),4.1430001,4.4089999,4.6950002,4.9959998,5.21,5.6669998,6.1199999,5.9809999
151,Mali,MLI,Unemployment total (% of total labor force),8.0699997,6.9000001,7.0960002,7.3000002,6.375,7.7290001,7.553,7.3299999
152,Malta,MLT,Unemployment total (% of total labor force),6.8470001,6.3779998,6.1960001,6.1059999,5.7249999,5.3790002,4.6869998,4.0009999
153,Marshall Islands,MHL,Unemployment total (% of total labor force),,,,,,,,
154,Mauritania,MRT,Unemployment total (% of total labor force),9.842,9.8459997,9.8649998,9.8879995,9.8109999,9.7580004,9.6920004,9.5769997
155,Mauritius,MUS,Unemployment total (% of total labor force),7.6539998,7.447,7.4720001,7.322,7.467,7.4099998,6.8140001,6.7519999
156,Mexico,MEX,Unemployment total (% of total labor force),5.303,5.1700001,4.8870001,4.914,4.809,4.3130002,3.859,3.4200001
157,Micronesia Fed. Sts.,FSM,Unemployment total (% of total labor force),,,,,,,,
158,Middle East & North Africa,MEA,Unemployment total (% of total labor force),9.5192616,10.027541,10.2268135,9.8851346,9.9749056,10.0656443,10.108632,10.2161965
159,Middle East & North Africa (excluding high income),MNA,Unemployment total (% of total labor force),10.7239917,11.4335559,11.7618081,11.3728015,11.55424,11.7813534,11.8780471,11.9953203
160,Middle East & North Africa (IDA & IBRD countries),TMN,Unemployment total (% of total labor force),10.6337324,11.3787732,11.6940269,11.2939889,11.4686054,11.6673074,11.7548606,11.8521495
161,Middle income,MIC,Unemployment total (% of total labor force),5.4168544,5.3472327,5.3035579,5.3287984,5.2934925,5.4469188,5.6124529,5.6256454
162,Moldova,MDA,Unemployment total (% of total labor force),7.4460001,6.6820002,5.5780001,5.1040001,3.8559999,3.694,4.1849999,4.0980001
163,Monaco,MCO,Unemployment total (% of total labor force),,,,,,,,
164,Mongolia,MNG,Unemployment total (% of total labor force),6.5489998,4.7690001,3.905,4.2309999,4.7979999,4.8610001,7.2350001,6.3590002
165,Montenegro,MNE,Unemployment total (% of total labor force),19.6490002,19.6709995,19.9740009,19.4960003,17.9969997,17.5440006,17.7229996,16.0709992
166,Morocco,MAR,Unemployment total (% of total labor force),9.0900002,8.9099998,8.9899998,9.2299995,9.6999998,9.46,9.3000002,9.1870003
167,Mozambique,MOZ,Unemployment total (% of total labor force),3.2590001,3.3050001,3.362,3.4219999,3.4170001,3.4260001,3.3829999,3.3080001
168,Myanmar,MMR,Unemployment total (% of total labor force),0.785,0.786,0.79,0.796,0.778,0.766,1.141,1.551
169,Namibia,NAM,Unemployment total (% of total labor force),22.1000004,19.3349991,16.7709999,19.0279999,18.5209999,20.882,23.3519993,21.5739994
170,Nauru,NRU,Unemployment total (% of total labor force),,,,,,,,
171,Nepal,NPL,Unemployment total (% of total labor force),1.516,1.517,1.525,1.534,1.499,1.475,1.446,1.396
172,Netherlands,NLD,Unemployment total (% of total labor force),4.9889998,4.9770002,5.8210001,7.243,7.4159999,6.8720002,6.006,4.8390002
173,New Caledonia,NCL,Unemployment total (% of total labor force),14.3979998,14.356,14.6719999,14.9139996,14.5900002,14.1269999,13.6829996,13.2489996
174,New Zealand,NZL,Unemployment total (% of total labor force),6.5570002,6.4910002,6.9310002,6.2649999,5.7519999,5.3649998,5.0999999,4.7020001
175,Nicaragua,NIC,Unemployment total (% of total labor force),7.8299999,6.447,5.2080002,5.2800002,4.5190001,4.6999998,3.9000001,3.3
176,Niger,NER,Unemployment total (% of total labor force),0.584,0.317,0.384,0.458,0.524,0.515,0.505,0.487
177,Nigeria,NGA,Unemployment total (% of total labor force),3.767,3.77,3.7349999,3.7030001,4.5619998,4.3109999,7.0599999,8.3889999
178,North America,NAC,Unemployment total (% of total labor force),9.4633241,8.7932892,7.9849149,7.3421074,6.2494825,5.4574983,5.1011985,4.5720263
179,North Macedonia,MKD,Unemployment total (% of total labor force),32.0200005,31.3770008,31.0160008,28.9960003,28.0300007,26.0680008,23.7240009,22.3810005
180,Northern Mariana Islands,MNP,Unemployment total (% of total labor force),,,,,,,,
181,Norway,NOR,Unemployment total (% of total labor force),3.5209999,3.2149999,3.1229999,3.4230001,3.484,4.296,4.6789999,4.1620002
182,Not classified,INX,Unemployment total (% of total labor force),,,,,,,,
183,OECD members,OED,Unemployment total (% of total labor force),8.4316527,8.0304051,8.0071057,7.9261326,7.4065701,6.8315559,6.4182739,5.8868829
184,Oman,OMN,Unemployment total (% of total labor force),5.0180001,4.6240001,4.5310001,4.3579998,3.8970001,3.632,3.27,3.023
185,Other small states,OSS,Unemployment total (% of total labor force),10.9422168,10.439138,10.1688571,10.3382063,10.0776121,9.998233,9.9779956,9.5606104
186,Pacific island small states,PSS,Unemployment total (% of total labor force),3.4397211,3.3643468,3.437727,3.3391507,3.2727939,3.2221134,3.1674508,3.0883373
187,Pakistan,PAK,Unemployment total (% of total labor force),0.653,0.796,1.7,2.954,1.827,3.566,3.789,3.9449999
188,Palau,PLW,Unemployment total (% of total labor force),,,,,,,,
189,Panama,PAN,Unemployment total (% of total labor force),3.7130001,2.3110001,2.391,2.3,2.7230001,3.0020001,3.3150001,3.9000001
190,Papua New Guinea,PNG,Unemployment total (% of total labor force),2.0020001,2.6199999,2.6300001,2.642,2.6010001,2.573,2.539,2.48
191,Paraguay,PRY,Unemployment total (% of total labor force),4.5689998,4.6690001,4.085,4.3850002,5.0339999,4.5560002,5.2550001,4.6149998
192,Peru,PER,Unemployment total (% of total labor force),3.4779999,3.4419999,3.109,3.237,2.9619999,3,3.5350001,3.46
193,Philippines,PHL,Unemployment total (% of total labor force),3.605,3.592,3.5039999,3.497,3.5999999,3.0680001,2.7079999,2.552
194,Poland,POL,Unemployment total (% of total labor force),9.6370001,9.632,10.0880003,10.3260002,8.9899998,7.5009999,6.1609998,4.8870001
195,Portugal,PRT,Unemployment total (% of total labor force),10.7700005,12.6770001,15.5270004,16.1830006,13.8940001,12.4440002,11.066,8.8669996
196,Post-demographic dividend,PST,Unemployment total (% of total labor force),8.3033443,8.012576,8.0658995,7.980151,7.4596437,6.8692093,6.4043183,5.8334664
197,Pre-demographic dividend,PRE,Unemployment total (% of total labor force),5.2801298,5.1807173,5.0783326,5.0012382,5.1106806,5.0895964,5.5559842,5.8223772
198,Puerto Rico,PRI,Unemployment total (% of total labor force),16.1000004,15.6999998,14.5,14.3000002,13.8999996,12,11.8000002,10.8000002
199,Qatar,QAT,Unemployment total (% of total labor force),0.45,0.56,0.48,0.28,0.2,0.17,0.15,0.14
200,Romania,ROU,Unemployment total (% of total labor force),6.9590001,7.177,6.7940001,7.0960002,6.802,6.8119998,5.901,4.927
201,Russian Federation,RUS,Unemployment total (% of total labor force),7.369,6.5359998,5.4359999,5.4580002,5.1599998,5.5710001,5.559,5.2119999
202,Rwanda,RWA,Unemployment total (% of total labor force),1.072,1.102,1.138,1.178,1.169,1.143,1.113,1.063
203,Samoa,WSM,Unemployment total (% of total labor force),5.6020002,5.6799998,8.7519999,8.7959995,8.7200003,8.6560001,8.5780001,8.4429998
204,San Marino,SMR,Unemployment total (% of total labor force),,,,,,,,
205,Sao Tome and Principe,STP,Unemployment total (% of total labor force),14.6599999,14.1120005,13.5900002,13.6160002,13.5319996,13.4720001,13.3999996,13.2729998
206,Saudi Arabia,SAU,Unemployment total (% of total labor force),5.5500002,5.77,5.52,5.5700002,5.7199998,5.5900002,5.6500001,5.8899999
207,Senegal,SEN,Unemployment total (% of total labor force),10.3450003,10.3599997,9.427,8.5419998,7.6110001,6.757,6.7059999,6.6149998
